ID,ESCOLAS_2007,ESCOLAS_2008,ESCOLAS_2009,ESCOLAS_2010,ESCOLAS_2011,ESCOLAS_2012,ESCOLAS_2013,ESCOLAS_2014
ID_DEPENDENCIAS_PNE,ID_DEPENDENCIAS_PNE,ID_DEPENDENCIAS_PNE,ID_DEPENDENCIAS_PNE,ID_DEPENDENCIAS_PNE,ID_DEPENDENCIAS_PNE,ID_DEPENDENCIAS_PNE,ID_DEPENDENCIAS_PNE,ID_DEPENDENCIAS_PNE
ID_DEPENDENCIAS_OUTRAS,ID_DEPENDENCIAS_OUTRAS,ID_DEPENDENCIAS_OUTRAS,ID_DEPENDENCIAS_OUTRAS,ID_DEPENDENCIAS_OUTRAS,ID_DEPENDENCIAS_OUTRAS,ID_DEPENDENCIAS_OUTRAS,ID_DEPENDENCIAS_OUTRAS,ID_DEPENDENCIAS_OUTRAS
NUM_SALAS_EXISTENTES,NUM_SALAS_EXISTENTES,NUM_SALAS_EXISTENTES,NUM_SALAS_EXISTENTES,NUM_SALAS_EXISTENTES,NUM_SALAS_EXISTENTES,NUM_SALAS_EXISTENTES,NUM_SALAS_EXISTENTES,NUM_SALAS_EXISTENTES
NUM_SALAS_UTILIZADAS,NUM_SALAS_UTILIZADAS,NUM_SALAS_UTILIZADAS,NUM_SALAS_UTILIZADAS,NUM_SALAS_UTILIZADAS,NUM_SALAS_UTILIZADAS,NUM_SALAS_UTILIZADAS,NUM_SALAS_UTILIZADAS,NUM_SALAS_UTILIZADAS
ID_EQUIP_TV,ID_EQUIP_TV,ID_EQUIP_TV,ID_EQUIP_TV,ID_EQUIP_TV,ID_EQUIP_TV,ID_EQUIP_TV,NA,NA
ID_EQUIP_VIDEOCASSETE,ID_EQUIP_VIDEOCASSETE,ID_EQUIP_VIDEOCASSETE,ID_EQUIP_VIDEOCASSETE,ID_EQUIP_VIDEOCASSETE,ID_EQUIP_VIDEOCASSETE,ID_EQUIP_VIDEOCASSETE,NA,NA
ID_EQUIP_DVD,ID_EQUIP_DVD,ID_EQUIP_DVD,ID_EQUIP_DVD,ID_EQUIP_DVD,ID_EQUIP_DVD,ID_EQUIP_DVD,NA,NA
ID_EQUIP_PARABOLICA,ID_EQUIP_PARABOLICA,ID_EQUIP_PARABOLICA,ID_EQUIP_PARABOLICA,ID_EQUIP_PARABOLICA,ID_EQUIP_PARABOLICA,ID_EQUIP_PARABOLICA,NA,NA
ID_EQUIP_COPIADORA,ID_EQUIP_COPIADORA,ID_EQUIP_COPIADORA,ID_EQUIP_COPIADORA,ID_EQUIP_COPIADORA,ID_EQUIP_COPIADORA,ID_EQUIP_COPIADORA,NA,NA
ID_EQUIP_RETRO,ID_EQUIP_RETRO,ID_EQUIP_RETRO,ID_EQUIP_RETRO,ID_EQUIP_RETRO,ID_EQUIP_RETRO,ID_EQUIP_RETRO,NA,NA
ID_EQUIP_IMPRESSORA,ID_EQUIP_IMPRESSORA,ID_EQUIP_IMPRESSORA,ID_EQUIP_IMPRESSORA,ID_EQUIP_IMPRESSORA,ID_EQUIP_IMPRESSORA,ID_EQUIP_IMPRESSORA,NA,NA
ID_EQUIP_IMPRESSORA_BRAILE,ID_EQUIP_IMPRESSORA_BRAILE,ID_EQUIP_IMPRESSORA_BRAILE,NA,NA,NA,NA,NA,NA
